"year","causeOfDeath","sex","deaths"
1960,"All certain infectious and parasitic diseases","Females",463
1960,"All certain infectious and parasitic diseases","Total",1262
1961,"All certain infectious and parasitic diseases","Males",763
1961,"All certain infectious and parasitic diseases","Females",458
1961,"All certain infectious and parasitic diseases","Total",1221
1962,"All certain infectious and parasitic diseases","Males",822
1962,"All certain infectious and parasitic diseases","Females",416
1962,"All certain infectious and parasitic diseases","Total",1238
1963,"All certain infectious and parasitic diseases","Males",705
1963,"All certain infectious and parasitic diseases","Females",394
1963,"All certain infectious and parasitic diseases","Total",1099
1964,"All certain infectious and parasitic diseases","Males",678
1964,"All certain infectious and parasitic diseases","Females",393
1964,"All certain infectious and parasitic diseases","Total",1071
1965,"All certain infectious and parasitic diseases","Males",588
1965,"All certain infectious and parasitic diseases","Females",363
1965,"All certain infectious and parasitic diseases","Total",951
1966,"All certain infectious and parasitic diseases","Males",609
1966,"All certain infectious and parasitic diseases","Females",352
1966,"All certain infectious and parasitic diseases","Total",961
1967,"All certain infectious and parasitic diseases","Males",570
1967,"All certain infectious and parasitic diseases","Females",407
1967,"All certain infectious and parasitic diseases","Total",977
1968,"All certain infectious and parasitic diseases","Males",547
1968,"All certain infectious and parasitic diseases","Females",422
1968,"All certain infectious and parasitic diseases","Total",969
1969,"All certain infectious and parasitic diseases","Males",518
1969,"All certain infectious and parasitic diseases","Females",401
1969,"All certain infectious and parasitic diseases","Total",919
1970,"All certain infectious and parasitic diseases","Males",549
1970,"All certain infectious and parasitic diseases","Females",393
1970,"All certain infectious and parasitic diseases","Total",942
1971,"All certain infectious and parasitic diseases","Males",531
1971,"All certain infectious and parasitic diseases","Females",383
1971,"All certain infectious and parasitic diseases","Total",914
1972,"All certain infectious and parasitic diseases","Males",436
1972,"All certain infectious and parasitic diseases","Females",369
1972,"All certain infectious and parasitic diseases","Total",805
1973,"All certain infectious and parasitic diseases","Males",447
1973,"All certain infectious and parasitic diseases","Females",339
1973,"All certain infectious and parasitic diseases","Total",786
1974,"All certain infectious and parasitic diseases","Males",455
1974,"All certain infectious and parasitic diseases","Females",312
1974,"All certain infectious and parasitic diseases","Total",767
1975,"All certain infectious and parasitic diseases","Males",396
1975,"All certain infectious and parasitic diseases","Females",311
1975,"All certain infectious and parasitic diseases","Total",707
1976,"All certain infectious and parasitic diseases","Males",356
1976,"All certain infectious and parasitic diseases","Females",296
1976,"All certain infectious and parasitic diseases","Total",652
1977,"All certain infectious and parasitic diseases","Males",356
1977,"All certain infectious and parasitic diseases","Females",257
1977,"All certain infectious and parasitic diseases","Total",613
1978,"All certain infectious and parasitic diseases","Males",305
1978,"All certain infectious and parasitic diseases","Females",286
1978,"All certain infectious and parasitic diseases","Total",591
1979,"All certain infectious and parasitic diseases","Males",280
1979,"All certain infectious and parasitic diseases","Females",223
1979,"All certain infectious and parasitic diseases","Total",503
1980,"All certain infectious and parasitic diseases","Males",280
1980,"All certain infectious and parasitic diseases","Females",247
1980,"All certain infectious and parasitic diseases","Total",527
1981,"All certain infectious and parasitic diseases","Males",277
1981,"All certain infectious and parasitic diseases","Females",268
1981,"All certain infectious and parasitic diseases","Total",545
1982,"All certain infectious and parasitic diseases","Males",284
1982,"All certain infectious and parasitic diseases","Females",253
1982,"All certain infectious and parasitic diseases","Total",537
1983,"All certain infectious and parasitic diseases","Males",311
1983,"All certain infectious and parasitic diseases","Females",264
1983,"All certain infectious and parasitic diseases","Total",575
1984,"All certain infectious and parasitic diseases","Males",271
1984,"All certain infectious and parasitic diseases","Females",246
1984,"All certain infectious and parasitic diseases","Total",517
1985,"All certain infectious and parasitic diseases","Males",300
1985,"All certain infectious and parasitic diseases","Females",323
1985,"All certain infectious and parasitic diseases","Total",623
1986,"All certain infectious and parasitic diseases","Males",340
1986,"All certain infectious and parasitic diseases","Females",258
1986,"All certain infectious and parasitic diseases","Total",598
1987,"All certain infectious and parasitic diseases","Males",342
1987,"All certain infectious and parasitic diseases","Females",302
1987,"All certain infectious and parasitic diseases","Total",644
1988,"All certain infectious and parasitic diseases","Males",410
1988,"All certain infectious and parasitic diseases","Females",323
1988,"All certain infectious and parasitic diseases","Total",733
1989,"All certain infectious and parasitic diseases","Males",402
1989,"All certain infectious and parasitic diseases","Females",359
1989,"All certain infectious and parasitic diseases","Total",761
1990,"All certain infectious and parasitic diseases","Males",429
1990,"All certain infectious and parasitic diseases","Females",374
1990,"All certain infectious and parasitic diseases","Total",803
1991,"All certain infectious and parasitic diseases","Males",456
1991,"All certain infectious and parasitic diseases","Females",374
1991,"All certain infectious and parasitic diseases","Total",830
1992,"All certain infectious and parasitic diseases","Males",492
1992,"All certain infectious and parasitic diseases","Females",402
1992,"All certain infectious and parasitic diseases","Total",894
1993,"All certain infectious and parasitic diseases","Males",502
1993,"All certain infectious and parasitic diseases","Females",431
1993,"All certain infectious and parasitic diseases","Total",933
1994,"All certain infectious and parasitic diseases","Males",565
1994,"All certain infectious and parasitic diseases","Females",477
1994,"All certain infectious and parasitic diseases","Total",1042
1995,"All certain infectious and parasitic diseases","Males",578
1995,"All certain infectious and parasitic diseases","Females",492
1995,"All certain infectious and parasitic diseases","Total",1070
1996,"All certain infectious and parasitic diseases","Males",1067
1996,"All certain infectious and parasitic diseases","Females",571
1996,"All certain infectious and parasitic diseases","Total",1638
1997,"All certain infectious and parasitic diseases","Males",868
1997,"All certain infectious and parasitic diseases","Females",654
1997,"All certain infectious and parasitic diseases","Total",1522
1998,"All certain infectious and parasitic diseases","Males",790
1998,"All certain infectious and parasitic diseases","Females",664
1998,"All certain infectious and parasitic diseases","Total",1454
1999,"All certain infectious and parasitic diseases","Males",842
1999,"All certain infectious and parasitic diseases","Females",761
1999,"All certain infectious and parasitic diseases","Total",1603
2000,"All certain infectious and parasitic diseases","Males",867
2000,"All certain infectious and parasitic diseases","Females",779
2000,"All certain infectious and parasitic diseases","Total",1646
2001,"All certain infectious and parasitic diseases","Males",887
2001,"All certain infectious and parasitic diseases","Females",788
2001,"All certain infectious and parasitic diseases","Total",1675
2002,"All certain infectious and parasitic diseases","Males",952
2002,"All certain infectious and parasitic diseases","Females",838
2002,"All certain infectious and parasitic diseases","Total",1790
2003,"All certain infectious and parasitic diseases","Males",926
2003,"All certain infectious and parasitic diseases","Females",828
2003,"All certain infectious and parasitic diseases","Total",1754
2004,"All certain infectious and parasitic diseases","Males",965
2004,"All certain infectious and parasitic diseases","Females",842
2004,"All certain infectious and parasitic diseases","Total",1807
2005,"All certain infectious and parasitic diseases","Males",905
2005,"All certain infectious and parasitic diseases","Females",796
2005,"All certain infectious and parasitic diseases","Total",1701
2006,"All certain infectious and parasitic diseases","Males",1043
2006,"All certain infectious and parasitic diseases","Females",926
2006,"All certain infectious and parasitic diseases","Total",1969
2007,"All certain infectious and parasitic diseases","Males",972
2007,"All certain infectious and parasitic diseases","Females",885
2007,"All certain infectious and parasitic diseases","Total",1857
2008,"All certain infectious and parasitic diseases","Males",1015
2008,"All certain infectious and parasitic diseases","Females",954
2008,"All certain infectious and parasitic diseases","Total",1969
2009,"All certain infectious and parasitic diseases","Males",974
2009,"All certain infectious and parasitic diseases","Females",852
2009,"All certain infectious and parasitic diseases","Total",1826
2010,"All certain infectious and parasitic diseases","Males",1128
2010,"All certain infectious and parasitic diseases","Females",1025
2010,"All certain infectious and parasitic diseases","Total",2153
2011,"All certain infectious and parasitic diseases","Males",1242
2011,"All certain infectious and parasitic diseases","Females",1158
2011,"All certain infectious and parasitic diseases","Total",2400
2012,"All certain infectious and parasitic diseases","Males",1222
2012,"All certain infectious and parasitic diseases","Females",1172
2012,"All certain infectious and parasitic diseases","Total",2394
2013,"All certain infectious and parasitic diseases","Males",1322
2013,"All certain infectious and parasitic diseases","Females",1359
