"year","causeOfDeath","sex","deaths"
1921,"All certain infectious and parasitic diseases","Males",3692
1921,"All certain infectious and parasitic diseases","Females",4345
1921,"All certain infectious and parasitic diseases","Total",8037
1922,"All certain infectious and parasitic diseases","Males",4482
1922,"All certain infectious and parasitic diseases","Females",3217
1922,"All certain infectious and parasitic diseases","Total",7699
1923,"All certain infectious and parasitic diseases","Males",4940
1923,"All certain infectious and parasitic diseases","Females",3655
1923,"All certain infectious and parasitic diseases","Total",8595
1924,"All certain infectious and parasitic diseases","Males",4644
1924,"All certain infectious and parasitic diseases","Females",3432
1924,"All certain infectious and parasitic diseases","Total",8076
1925,"All certain infectious and parasitic diseases","Males",4276
1925,"All certain infectious and parasitic diseases","Females",3186
1925,"All certain infectious and parasitic diseases","Total",7462
1926,"All certain infectious and parasitic diseases","Males",4576
1926,"All certain infectious and parasitic diseases","Females",3354
1926,"All certain infectious and parasitic diseases","Total",7930
1927,"All certain infectious and parasitic diseases","Males",4323
1927,"All certain infectious and parasitic diseases","Females",3162
1927,"All certain infectious and parasitic diseases","Total",7485
1928,"All certain infectious and parasitic diseases","Males",4527
1928,"All certain infectious and parasitic diseases","Females",3473
1928,"All certain infectious and parasitic diseases","Total",8000
1929,"All certain infectious and parasitic diseases","Males",4078
1929,"All certain infectious and parasitic diseases","Females",3012
1929,"All certain infectious and parasitic diseases","Total",7090
1930,"All certain infectious and parasitic diseases","Males",3872
1930,"All certain infectious and parasitic diseases","Females",2922
1930,"All certain infectious and parasitic diseases","Total",6794
1931,"All certain infectious and parasitic diseases","Males",3440
1931,"All certain infectious and parasitic diseases","Females",2528
1931,"All certain infectious and parasitic diseases","Total",5968
1932,"All certain infectious and parasitic diseases","Males",3311
1932,"All certain infectious and parasitic diseases","Females",2352
1932,"All certain infectious and parasitic diseases","Total",5663
1933,"All certain infectious and parasitic diseases","Males",3139
1933,"All certain infectious and parasitic diseases","Females",2162
1933,"All certain infectious and parasitic diseases","Total",5301
1934,"All certain infectious and parasitic diseases","Males",3244
1934,"All certain infectious and parasitic diseases","Females",2402
1934,"All certain infectious and parasitic diseases","Total",5646
1935,"All certain infectious and parasitic diseases","Males",3098
1935,"All certain infectious and parasitic diseases","Females",2061
1935,"All certain infectious and parasitic diseases","Total",5159
1936,"All certain infectious and parasitic diseases","Males",2989
1936,"All certain infectious and parasitic diseases","Females",2281
1936,"All certain infectious and parasitic diseases","Total",5270
1937,"All certain infectious and parasitic diseases","Males",2903
1937,"All certain infectious and parasitic diseases","Females",2021
1937,"All certain infectious and parasitic diseases","Total",4924
1938,"All certain infectious and parasitic diseases","Males",2833
1938,"All certain infectious and parasitic diseases","Females",1909
1938,"All certain infectious and parasitic diseases","Total",4742
1939,"All certain infectious and parasitic diseases","Males",2985
1939,"All certain infectious and parasitic diseases","Females",2013
1939,"All certain infectious and parasitic diseases","Total",4998
1940,"All certain infectious and parasitic diseases","Males",2996
1940,"All certain infectious and parasitic diseases","Females",1912
1940,"All certain infectious and parasitic diseases","Total",4908
1941,"All certain infectious and parasitic diseases","Males",3148
1941,"All certain infectious and parasitic diseases","Females",1964
1941,"All certain infectious and parasitic diseases","Total",5112
1942,"All certain infectious and parasitic diseases","Males",3369
1942,"All certain infectious and parasitic diseases","Females",2207
1942,"All certain infectious and parasitic diseases","Total",5576
1943,"All certain infectious and parasitic diseases","Males",3082
1943,"All certain infectious and parasitic diseases","Females",2056
1943,"All certain infectious and parasitic diseases","Total",5138
1944,"All certain infectious and parasitic diseases","Males",2574
1944,"All certain infectious and parasitic diseases","Females",1525
1944,"All certain infectious and parasitic diseases","Total",4099
1945,"All certain infectious and parasitic diseases","Males",2433
1945,"All certain infectious and parasitic diseases","Females",1566
1945,"All certain infectious and parasitic diseases","Total",3999
1946,"All certain infectious and parasitic diseases","Males",2496
1946,"All certain infectious and parasitic diseases","Females",1473
1946,"All certain infectious and parasitic diseases","Total",3969
1947,"All certain infectious and parasitic diseases","Males",2366
1947,"All certain infectious and parasitic diseases","Females",1319
1947,"All certain infectious and parasitic diseases","Total",3685
1948,"All certain infectious and parasitic diseases","Males",2369
1948,"All certain infectious and parasitic diseases","Females",1337
1948,"All certain infectious and parasitic diseases","Total",3706
1949,"All certain infectious and parasitic diseases","Males",2244
1949,"All certain infectious and parasitic diseases","Females",1135
1949,"All certain infectious and parasitic diseases","Total",3379
1950,"All certain infectious and parasitic diseases","Males",1988
1950,"All certain infectious and parasitic diseases","Females",1019
1950,"All certain infectious and parasitic diseases","Total",3007
1951,"All certain infectious and parasitic diseases","Males",2037
1951,"All certain infectious and parasitic diseases","Females",1146
1951,"All certain infectious and parasitic diseases","Total",3183
1952,"All certain infectious and parasitic diseases","Males",1667
1952,"All certain infectious and parasitic diseases","Females",873
1952,"All certain infectious and parasitic diseases","Total",2540
1953,"All certain infectious and parasitic diseases","Males",1459
1953,"All certain infectious and parasitic diseases","Females",775
1953,"All certain infectious and parasitic diseases","Total",2234
1954,"All certain infectious and parasitic diseases","Males",1359
1954,"All certain infectious and parasitic diseases","Females",682
1954,"All certain infectious and parasitic diseases","Total",2041
1955,"All certain infectious and parasitic diseases","Males",1141
1955,"All certain infectious and parasitic diseases","Females",601
1955,"All certain infectious and parasitic diseases","Total",1742
1956,"All certain infectious and parasitic diseases","Males",1091
1956,"All certain infectious and parasitic diseases","Females",608
1956,"All certain infectious and parasitic diseases","Total",1699
1957,"All certain infectious and parasitic diseases","Males",950
1957,"All certain infectious and parasitic diseases","Females",470
1957,"All certain infectious and parasitic diseases","Total",1420
1958,"All certain infectious and parasitic diseases","Males",904
1958,"All certain infectious and parasitic diseases","Females",478
1958,"All certain infectious and parasitic diseases","Total",1382
1959,"All certain infectious and parasitic diseases","Males",905
1959,"All certain infectious and parasitic diseases","Females",466
1959,"All certain infectious and parasitic diseases","Total",1371
1960,"All certain infectious and parasitic diseases","Males",799
